店铺名,ItemID,货号,尺码,价格
all_in_domain,395995369120,DM7866-202,9 Men,410.0
all_in_domain,395995369120,DM7866-202,9.5 Men,421.0
all_in_domain,395995369120,DM7866-202,11 Men,491.0
all_in_domain,395995369120,DM7866-202,8.5 Men,407.0
all_in_domain,395995369120,DM7866-202,7 Men,530.0
all_in_domain,395995369120,DM7866-202,7.5 Men,424.0
all_in_domain,395995369120,DM7866-202,11.5 Men,517.0
all_in_domain,395995369120,DM7866-202,10 Men,438.0
all_in_domain,395995369120,DM7866-202,10.5 Men,457.0
all_in_domain,395995369120,DM7866-202,8 Men,384.0
all_in_domain,395995369120,DM7866-202,12 Men,505.0
all_in_domain,395995369120,DM7866-202,13 Men,399.0
all_in_domain,395995369120,DM7866-202,14 Men,475.0
all_in_domain,395995369120,DM7866-202,3.5 Men,469.0
all_in_domain,395995369120,DM7866-202,4 Men,385.0
all_in_domain,395995369120,DM7866-202,4.5 Men,401.0
all_in_domain,395995369120,DM7866-202,5 Men,384.0
all_in_domain,395995369120,DM7866-202,5.5 Men,507.0
all_in_domain,395995369120,DM7866-202,6 Men,505.0
all_in_domain,395995369120,DM7866-202,6.5 Men,528.0
mxcltd2,317343761547,DM7866-202,10.5 Men,489.0
mxcltd2,317343761547,DM7866-202,10 Men,454.0
mxcltd2,317343761547,DM7866-202,12 Men,517.0
mxcltd2,317343761547,DM7866-202,13 Men,439.0
mxcltd2,317343761547,DM7866-202,3.5 Men,476.0
mxcltd2,317343761547,DM7866-202,4.5 Men,423.0
mxcltd2,317343761547,DM7866-202,4 Men,400.0
mxcltd2,317343761547,DM7866-202,5 Men,396.0
mxcltd2,317343761547,DM7866-202,7.5 Men,434.0
mxcltd2,317343761547,DM7866-202,8.5 Men,422.0
mxcltd2,317343761547,DM7866-202,8 Men,399.0
mxcltd2,317343761547,DM7866-202,9.5 Men,433.0
mxcltd2,317343761547,DM7866-202,9 Men,436.0
mtsnkrs,316128309839,DM7866-202,3.5 Men,469.0
mtsnkrs,316128309839,DM7866-202,4 Men,385.0
mtsnkrs,316128309839,DM7866-202,4.5 Men,402.0
mtsnkrs,316128309839,DM7866-202,5 Men,384.0
mtsnkrs,316128309839,DM7866-202,5.5 Men,506.0
mtsnkrs,316128309839,DM7866-202,6 Men,505.0
mtsnkrs,316128309839,DM7866-202,6.5 Men,523.0
mtsnkrs,316128309839,DM7866-202,7 Men,531.0
mtsnkrs,316128309839,DM7866-202,7.5 Men,425.0
mtsnkrs,316128309839,DM7866-202,8 Men,385.0
mtsnkrs,316128309839,DM7866-202,8.5 Men,408.0
mtsnkrs,316128309839,DM7866-202,9 Men,411.0
mtsnkrs,316128309839,DM7866-202,9.5 Men,422.0
mtsnkrs,316128309839,DM7866-202,10 Men,439.0
mtsnkrs,316128309839,DM7866-202,10.5 Men,460.0
mtsnkrs,316128309839,DM7866-202,11 Men,491.0
mtsnkrs,316128309839,DM7866-202,11.5 Men,517.0
mtsnkrs,316128309839,DM7866-202,12 Men,505.0
mtsnkrs,316128309839,DM7866-202,13 Men,402.0
mtsnkrs,316128309839,DM7866-202,14 Men,476.0
brother_tao,176760026575,DM7866-202,7 Men,652.0
brother_tao,176760026575,DM7866-202,7.5 Men,522.0
brother_tao,176760026575,DM7866-202,8 Men,473.0
brother_tao,176760026575,DM7866-202,8.5 Men,501.0
brother_tao,176760026575,DM7866-202,9 Men,505.0
brother_tao,176760026575,DM7866-202,9.5 Men,518.0
brother_tao,176760026575,DM7866-202,10 Men,539.0
brother_tao,176760026575,DM7866-202,10.5 Men,565.0
brother_tao,176760026575,DM7866-202,3.5 Men,577.0
brother_tao,176760026575,DM7866-202,4 Men,473.0
brother_tao,176760026575,DM7866-202,4.5 Men,493.0
brother_tao,176760026575,DM7866-202,5 Men,471.0
brother_tao,176760026575,DM7866-202,5.5 Men,622.0
brother_tao,176760026575,DM7866-202,6 Men,620.0
brother_tao,176760026575,DM7866-202,6.5 Men,643.0
brother_tao,176760026575,DM7866-202,11 Men,603.0
brother_tao,176760026575,DM7866-202,11.5 Men,635.0
brother_tao,176760026575,DM7866-202,12 Men,620.0
brother_tao,176760026575,DM7866-202,13 Men,493.0
brother_tao,176760026575,DM7866-202,14 Men,584.0
sole_b1ock,375818151669,DM7866-202,7 Men,529.0
sole_b1ock,375818151669,DM7866-202,7.5 Men,424.0
sole_b1ock,375818151669,DM7866-202,8 Men,384.0
sole_b1ock,375818151669,DM7866-202,8.5 Men,407.0
sole_b1ock,375818151669,DM7866-202,9 Men,410.0
sole_b1ock,375818151669,DM7866-202,9.5 Men,421.0
sole_b1ock,375818151669,DM7866-202,10 Men,438.0
sole_b1ock,375818151669,DM7866-202,10.5 Men,456.0
sole_b1ock,375818151669,DM7866-202,11 Men,491.0
sole_b1ock,375818151669,DM7866-202,11.5 Men,517.0
sole_b1ock,375818151669,DM7866-202,12 Men,504.0
sole_b1ock,375818151669,DM7866-202,13 Men,399.0
sole_b1ock,375818151669,DM7866-202,14 Men,475.0
sole_b1ock,375818151669,DM7866-202,6.5 Men,528.0
sole_b1ock,375818151669,DM7866-202,3.5 Men,469.0
sole_b1ock,375818151669,DM7866-202,4 Men,385.0
sole_b1ock,375818151669,DM7866-202,4.5 Men,406.0
sole_b1ock,375818151669,DM7866-202,5 Men,394.0
sole_b1ock,375818151669,DM7866-202,5.5 Men,511.0
sole_b1ock,375818151669,DM7866-202,6 Men,509.0
mxcltd,365300262201,DM7866-202,8.5 Men,439.0
mxcltd,365300262201,DM7866-202,8 Men,413.0
mxcltd,365300262201,DM7866-202,9 Men,451.0
mxcltd,365300262201,DM7866-202,10 Men,471.0
mxcltd,365300262201,DM7866-202,11.5 Men,542.0
mxcltd,365300262201,DM7866-202,5 Men,410.0
mxcltd,365300262201,DM7866-202,7 Men,564.0
mxcltd,365300262201,DM7866-202,10.5 Men,507.0
mxcltd,365300262201,DM7866-202,11 Men,541.0
mxcltd,365300262201,DM7866-202,12 Men,536.0
mxcltd,365300262201,DM7866-202,14 Men,582.0
mxcltd,365300262201,DM7866-202,5.5 Men,563.0
mxcltd,365300262201,DM7866-202,6.5 Men,555.0
mxcltd,365300262201,DM7866-202,7.5 Men,450.0
mxcltd,365300262201,DM7866-202,9.5 Men,448.0
mxcltd,365300262201,DM7866-202,3.5 Men,493.0
mxcltd,365300262201,DM7866-202,4.5 Men,439.0
mxcltd,365300262201,DM7866-202,4 Men,415.0
mxcltd,365300262201,DM7866-202,6 Men,550.0
mxcltd,365300262201,DM7866-202,13 Men,455.0
yuejiesport,397001734552,DM7866-202,3.5 Men,538.0
yuejiesport,397001734552,DM7866-202,4 Men,438.0
yuejiesport,397001734552,DM7866-202,4.5 Men,457.0
yuejiesport,397001734552,DM7866-202,5 Men,436.0
yuejiesport,397001734552,DM7866-202,5.5 Men,561.0
yuejiesport,397001734552,DM7866-202,6 Men,577.0
yuejiesport,397001734552,DM7866-202,6.5 Men,599.0
yuejiesport,397001734552,DM7866-202,7 Men,607.0
yuejiesport,397001734552,DM7866-202,7.5 Men,484.0
yuejiesport,397001734552,DM7866-202,8 Men,438.0
yuejiesport,397001734552,DM7866-202,8.5 Men,465.0
yuejiesport,397001734552,DM7866-202,9 Men,468.0
yuejiesport,397001734552,DM7866-202,9.5 Men,481.0
yuejiesport,397001734552,DM7866-202,10 Men,500.0
yuejiesport,397001734552,DM7866-202,10.5 Men,522.0
yuejiesport,397001734552,DM7866-202,11 Men,561.0
yuejiesport,397001734552,DM7866-202,11.5 Men,591.0
yuejiesport,397001734552,DM7866-202,12 Men,581.0
yuejiesport,397001734552,DM7866-202,13 Men,461.0
yuejiesport,397001734552,DM7866-202,14 Men,543.0
hypex-official-store,286224907182,DM7866-202,3.5 Men,582.0
hypex-official-store,286224907182,DM7866-202,4 Men,476.0
hypex-official-store,286224907182,DM7866-202,4.5 Men,497.0
hypex-official-store,286224907182,DM7866-202,5 Men,474.0
hypex-official-store,286224907182,DM7866-202,5.5 Men,628.0
hypex-official-store,286224907182,DM7866-202,6 Men,626.0
hypex-official-store,286224907182,DM7866-202,6.5 Men,649.0
hypex-official-store,286224907182,DM7866-202,7 Men,658.0
hypex-official-store,286224907182,DM7866-202,7.5 Men,526.0
hypex-official-store,286224907182,DM7866-202,8 Men,476.0
hypex-official-store,286224907182,DM7866-202,8.5 Men,505.0
hypex-official-store,286224907182,DM7866-202,9 Men,509.0
hypex-official-store,286224907182,DM7866-202,9.5 Men,522.0
hypex-official-store,286224907182,DM7866-202,10 Men,543.0
hypex-official-store,286224907182,DM7866-202,10.5 Men,570.0
hypex-official-store,286224907182,DM7866-202,11 Men,608.0
hypex-official-store,286224907182,DM7866-202,11.5 Men,641.0
hypex-official-store,286224907182,DM7866-202,12 Men,626.0
hypex-official-store,286224907182,DM7866-202,13 Men,497.0
hypex-official-store,286224907182,DM7866-202,14 Men,589.0
hemeisport,357221453003,DM7866-202,4 Men,438.0
hemeisport,357221453003,DM7866-202,4.5 Men,438.0
hemeisport,357221453003,DM7866-202,5 Men,436.0
